Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
308,0.862704251,0.533809981,0.178865303,0.592365121,31.2599482
309,0.865210572,0.531568438,0.177455291,0.595701486,30.98452026
310,0.866162424,0.529497766,0.176289469,0.597504764,30.79322461
311,0.866409332,0.527627553,0.175518108,0.598366459,30.6380996
312,0.86679715,0.525987386,0.175295854,0.598878071,30.47270893
313,0.868375278,0.524606854,0.175986587,0.599631103,30.23180159
314,0.87187351,0.523515545,0.177649339,0.601217059,29.88126803
315,0.878128286,0.522743046,0.180342079,0.604335454,29.38448229
316,0.889670128,0.522318946,0.187328335,0.608461007,28.47620249
317,0.893798885,0.545284876,0.186802255,0.612297329,30.46641205
318,0.895551663,0.539664663,0.185549176,0.614880828,29.91746348
319,0.896221526,0.529145035,0.183819787,0.617053853,28.9901052
320,0.897594785,0.516750323,0.181864778,0.620266183,27.87683515
321,0.905531728,0.505504856,0.179934837,0.629487166,26.60949861
322,0.909706795,0.498432964,0.178280655,0.635070021,25.88599103
323,0.913957309,0.517264495,0.177152921,0.638718161,27.46137859
324,0.917125041,0.518469754,0.176795846,0.641776602,27.4556054
325,0.920130447,0.519133708,0.177053827,0.644197133,27.37901277
326,0.923948757,0.532406143,0.178406274,0.645931544,28.33469681
327,0.938296168,0.517753358,0.193348844,0.646931627,25.73880796
328,0.936306176,0.498098508,0.193223163,0.646972681,24.08555906
329,0.929540737,0.485850673,0.192889175,0.642395064,23.26267798
330,0.919090914,0.475694974,0.192388876,0.634412388,22.75157213
331,0.909183999,0.469396074,0.191764265,0.62657159,22.5651062
332,0.90851187,0.513036653,0.191057339,0.622419605,26.61526139
333,0.906213765,0.493526001,0.190310095,0.622402258,24.95471894
334,0.903864269,0.474135959,0.189564531,0.622844858,23.30827373
335,0.906777637,0.494755584,0.188862644,0.623993029,25.12165752
336,0.907096676,0.480304959,0.188246432,0.626176902,23.82393952
337,0.909496378,0.471973514,0.187757893,0.629726614,23.0083186
338,0.913978629,0.465298237,0.187439024,0.634972296,22.26967105
339,0.958992926,0.460654255,0.198261242,0.669292245,19.84771558
340,0.956746783,0.458416696,0.199202963,0.666857284,19.67182573
341,0.954141501,0.468995398,0.19871187,0.662983354,20.67454671
342,0.94886357,0.470344723,0.197968146,0.65841219,20.99358793
343,0.94362465,0.472763248,0.197035028,0.653885531,21.41882298
344,0.940373243,0.483954851,0.195975753,0.650145112,22.55700191
345,0.933489186,0.461070439,0.194853556,0.647932672,20.84400956
346,0.928767411,0.441974239,0.193731676,0.647637821,19.38726832
